title,type,text
,,
"West Bengal CM slams Amit Shah, blames CPI(M), Cong for BJP's win in Tripura",deccan," Saturday, Mar 03, 2018 | Last Update : 11:18 PM IST Discounting BJP's massive success in the Assembly Elections in Tripura West Bengal Chief Minister Mamata Banerjee accused the BJP of winning the neighbouring state with the help of outsiders, money power and the central para-military forces. Hitting out at BJP President Amit Shah for his next targets of winning three more states — West Bengal, Odhisa and Karnataka the Trinamool Congress supremo wondered if the BJP would be able to continue at the Centre after the Lok Sabha Elections 2019.  Mamata Banerjee, who recently said she would be happy if the CPI(M) would win the Assembly Elections in Tripura, revealed that she gave an offer to Congress President Rahul Gandhi of an alliance and seat-sharing which was rejected. Blaming the Congress and the CPI(M) she observed that it was not the BJP's victory in Tripura. The CPI(M)'s arrogance and the Congress' failure were the results of the assembly polls, she noted adding that had the Congress not turned down her proposal for an alliance, the results may have been otherwise. Hinting at foul play she alleged that something unnatural has happened in the Tripura polls which has made its results a ‘mystery’. “I do not see any reason for the BJP to be emphatic over its victory in the Assembly polls in Tripura. The CPI(M) bagged 45 per cent of the total votes. It is no less. And the BJP got 50 per cent votes. What you are not saying is that in the North Eastern states power is grabbed with the help of source and force whoever stays in power at the Centre. I have only one objection which I spoke about in the Assembly recently,” she said at state secretariat Nabanna on Saturday evening. Mamata Banerjee alleged, “They (BJP) spent huge amount of money. Many incidents took place over EVMs. They brought outsiders to Tripura apart from misusing the central forces there. But I need to know why the CPI(M) did not protest. The CPI(M) totally surrendered itself to the BJP. Had they not surrendered, the results would not have been bad. There was a difference of only five cent votes. While the Congress suffered failures, the CPI(M) surrendered.” The Trinamool chief claimed, “If you ask about the Congress' failures, I would say that I bought a change in 1987 in Tripura. It is not that change did not take place ever there. It is wrong which is being circulated in the social network. After the change in 1987 in Tripura the atmosphere was set for another change in 1992 when Prime Minister Narsimha Rao imposed the President's Rule at the behest of the CPI(M). Had it not been so, the Congress would have come to power then again.” She added, “So there are instances in the history. Incumbency creeped in as the Left Front has been in the politics for a long time. Had the Congress given a tough fight, the difference bagging of four-five votes would not have been a big matter. In that case the BJP would have got only ten seats. Today I disclose that I made a request to the Congress. I personally told Rahul Gandhi: Look we are new in Tripura and we are yet to do anything there. I urged him to take part in the fight jointly Congress and Trinamul alongwith the hill-based parties.” The West Bengal chief minister reasoned, “But they did not do it. I even suggested them for a seat adjustment which covered 14 seats to be contested by us and 16 others to be contested by the hill-based parties while the Congress would contest in 30 seats. This would have led to the creation of a platform. Had the platform been created, the difference in vote percentage would not have happened. But the Congress did nothing. I do not know why the Congress supplied oxygen to the BJP.” She mentioned, “I am saying all these now because I gave it a thought and I pursued it also. I do not know at whose advice they did not accept my proposal. As a result the Congress vote percentage now stands at around two per cent. It is shame for them because they were the opposition party there.”"
,,
"Himanta Biswa Sarma is BJP’s man in Northeast, again",deccan," Saturday, Mar 03, 2018 | Last Update : 11:18 PM IST The man with the gloating rights today for solidly establishing the BJP in Northeast politics is party strategist Himanta Biswa Sarma. A former Congress man, Sarma has already delivered Assam, Manipur and Arunachal Pradesh to the party’s kitty, and continues to work towards what he calls ""mainstreaming the northeast region"" in the country’s politics.   He told a news channel before counting on Saturday, “If we win Tripura and regain Nagaland, have a government in Meghalaya, our expansion in Northeast is complete.” The only other state Mizoram, is ruled by the Congress and goes to polls later this year. Results for the three states now show that the BJP has won Tripura – ending Left Front chief minister Manik Sarkar’s two-decade rule – won Nagaland with partner NDPP and can swing a coalition in Meghalaya where the ruling Congress doesn’t look it will get a majority. He said: “In Meghalaya, we have to talk among parties and install non-Congress government."" Sarma joined the BJP in 2015, and swung a massive victory in Assam for the party. In 2017, he effected a BJP government in Manipur, thought the BJP did not win a majority in the state. In Arunachal Pradesh, he broke the Congress, spirited away 40 rebel MLAs to form a party at the Assembly that is supported by the BJP. Sarma told , “I am in the BJP for this. The enormous attention Prime Minister Narendra Modi and (BJP president) Amit Shah are paying the Northeast is extraordinary,"" he said. “In my entire political life, I have never seen a national political party pay so much attention to the northeast. It is about winning the hearts of the people of the northeast. People are very happy about this.”"
,,
"In Karti Chidambaram Case, Indrani Mukerjea Brings Up Former Finance Minister P Chidambaram",ndtv," Sections | Reported by , Edited by |  Indrani Mukerjea, who once owned the television company at the heart of the CBI case against Karti Chidambaram, has told the Enforcement Directorate that she and Peter Mukerjea had met former Union Minister P Chidambaram to seek government approval to foreign investment proposals worth around Rs. 300 crore in the company INX Media. Ms Mukerjea's statement, also made separately to the CBI and recorded before a magistrate, has linked the former Union Finance Minister to the CBI case filed against Karti Chidambaram, 46. Karti Chidambaram, who was arrested on Wednesday morning, is accused of receiving kickbacks in 2007 to clear the foreign investment, using the influence of his father, who was then the Union finance minister. At the time, the company was owned by Peter and Indrani Mukerjea. The couple has been in jail on charges of murdering her daughter Sheena Bora since 2015. NDTV has also accessed invoices that the investigating agencies said are proof of the payments made to Karti Chidambaram. Investigators said they got the invoices after they arrested Karti Chidambaram's chartered accountant two weeks ago. The former Union Minister and his son have denied the allegations, calling it a case of ""political vendetta"" and pointing that it was Mr Chidambaram, who as Finance Minister in 2013, had first ordered a probe by the Serious Frauds Office into allegations against the INX Group. Investigators told NDTV that Peter and Indrani Mukerjea had given statements to the Enforcement Directorate detailing their interactions with the former Union Minister and his son. Ms Mukerjea later, according to an official note, also ""confirmed payment of 7,00,000 dollars"" in her statement recorded before a magistrate. In their statements, Indrani Mukerjea and Peter Mukerjea say they had met P Chidambaram in his office in the North Block. They allege he had asked them to help the business of Karti Chidambaram and to ""make foreign remittances"" for this purpose. Subsequently, they met Karti Chidambaram at Delhi's Hyatt hotel, who allegedly demanded a payment of 1 million dollars. ""It was further admitted that Karti Chidambaram suggested the names of Chess Management and Advantage Strategic as alternatives to make payments,"" a document accessed by NDTV read. The CBI had filed a case against Karti Chidambaram last year, in which he has been accused of accepting bribes to the tune of 10 lakh. In court on Wednesday, Karti Chidambaram's lawyer, Congress lawmaker Abhishek Manu Singhvi, said he was being targeted because he was the senior Congress leader's son. Regarding the bribe allegation, Mr Singhvi said Karti Chidambaram was not a director or a shareholder of Advantage Strategic company, one of the companies through which the Mukerjeas had allegedly paid the bribe. © Copyright NDTV Convergence Limited 2018. All rights reserved."
,,
Congress Sees Hope In By-Poll Wins In BJP-Ruled Madhya Pradesh: 10 Points,ndtv," Sections | Edited by |  The Congress on Wednesday won crucial by-elections in two assembly seats in Madhya Pradesh, seen as a semi-final before assembly elections later this year. The Congress held both seats - Mungaoli and Kolaras - which were vacated by the death of its sitting legislators. The ruling BJP had gone flat out to try and wrest the seats away from the opposition party with Chief Minister Shivraj Singh Chouhan leading an aggressive campaign. In the Bijepur assembly by-election in Odisha, the ruling BJD won the seat that was held earlier by the Congress. Here are the top 10 updates in this story © Copyright NDTV Convergence Limited 2018. All rights reserved."
,,
"After Sridevi's Funeral, A Statement By The Kapoor Family",ndtv," Sections | Written by |  Iconic actress in Mumbai on Wednesday. ""The past few days have been trying times for us as a family. Today, particularly, has been one of the hardest. We laid to rest a beautiful soul who has gone too soon. She leaves behind a legacy that is unique. Her talent was undeniable, her beauty unmatched and her ability to connect with the audience was legendary. Sri had the same connect with her family as well,"" read an excerpt from the statement, posted on social media by Sridevi's brother-in-law Anil Kapoor, his children Sonam, Rhea, Harshvradhan and other family members. The statement also made a plea on behalf of Sridevi's young daughters, Janhvi and Khushi Kapoor. Read the statement here:  Sridevi was wrapped in the national flag for the journey to the crematorium. Amitabh Bachchan, Shah Rukh Khan, Katrina Kaif and others attended the funeral. Before the last rites, a multitude of stars bid Sridevi a final farewell at a club in Lokhandwala. The mourners included Chiranjeevi, Madhuri Dixit, Aishwarya Rai Bachchan, Deepika Padukone, Hema Malini, Kajol and Ajay Devgn, Vidya Balan and many, many others. Thousands of fans, holding flowers and photos, also lined up for a last glimpse of Sridevi. Some had travelled to Mumbai from Chennai and Karnataka. Sridevi died on Saturday in Dubai. She was 54 and had spent the last week attending nephew Mohit Marwah's wedding in UAE. Sridevi's death has been ruled accidental by Dubai authorities - a postmortem revealed that she had drowned in her hotel bathtub. Husband Boney Kapoor was in the hotel room when she died. Other family members - stepson Arjun and brother-in-law Sanjay Kapoor - flew to Dubai to bring Sridevi home. Back in Mumbai, Anil Kapoor's home became a point of convergence for grieving Bollywood colleagues. Among the visitors were Rajinikanth and Kamal Haasan, Sridevi's very first co-stars in 1976's , her first film as lead actress In a career spanning for over 50 years, Sridevi had made 300 films in several languages. Her best known Hindi films are and . Her last film was and Shah Rukh Khan's will see Sridevi in a posthumous cameo. Sridevi is survived by husband Boney Kapoor and daughters Janhvi and Khushi.  © Copyright NDTV Convergence Limited 2018. All rights reserved."
,,
"BJP's Karnataka Hope BS Yeddyurappa Is 75; Party Says Age Bar ""Unofficial""",ndtv," Sections | | Written by |  On Tuesday, as former Karnataka Chief Minister BS Yeddyurappa turned 75, Prime Minister Narendra Modi attended a rally in Karnataka in a symbolic boost to the state BJP chief's election campaign in the southern state. The BJP has also projected Mr Yeddyurappa as its chief ministerial candidate in Congress-ruled Karnataka. But there could be a catch -- the BJP is said to have a cut-off of 75 years for anyone who wants to contest elections, though party president Amit Shah has denied any such age limit. ""It is not a mandatory policy in the BJP constitution. It is only unofficial guidelines followed by the party. There have been exceptions in the past as well,"" BJP spokesperson S Prakash told NDTV. Senior BJP leaders said Mr Yeddyurappa was not 75 when he was chosen as the chief ministerial candidate and as someone who would lead the party in the Karnataka assembly election. Mr Yeddyurappa's party has said he also is the only sitting Member of Parliament who has been allowed to contest the Karnataka assembly election. If the party does come to power in Karnataka, he would, however, need to be a legislator to be the chief minister. The Congress has now taken hold of the issue to attack the BJP in a bid to create confusion in the rival party as part of its election offensive. Karnataka Congress working president Dinesh Gundu Rao said the BJP ""is just using him (Mr Yeddyurappa) because they have nobody else in Karnataka."" ""This is an internal matter of the BJP. But knowing our Prime Minister, the reason why he came yesterday (to Karnataka) was to say goodbye to Yeddyurappa... I think after the elections, whatever happens, this would be the final function Yeddyurappa is having,"" Mr Rao told NDTV. The Election Commission has said the dates for the Karnataka assembly election would be announced around April 15.  ................... Advertisement ................... ................... Advertisement ................... © Copyright NDTV Convergence Limited 2018. All rights reserved."
,,
"punjab national bank scam: Scam started in 2011, government monitoring situation: PNB MD Sunil Mehta - Times of India",timesofindia," PNB Managing Director Sunil Mehta briefing the media NEW DELHI: ( ) Managing Director (MD) on Thursday said that the bank's Rs 11,300 crore scam had started back in 2011 and it was detected on January 3 this year.  ""We detected the fraud on January 3. We got to know that 2 of our employees did some un-authorised transactions. The bank intiated criminal action against our staff members,"" he said.  Briefing the media on the mega scam in its MC Brady House branch in Mumbai, Mehta said that the bank lodged a complaint with the CBI on January 29, following which the investigation agency registered a FIR on the next day. ""In response to our registered FIR, raids are being conducted on involved groups and establishments, documents and records are being seized,"" he said.  Earlier in the day, the (ED) registered a money laundering case against diamond merchant and his relatives along with others and raided over dozen premises across the country connected to them. The premises raided by the ED includes Modi's residence in Kurla, his jewellery boutique in Kala Ghoda area, three company locations in Bandra and Lower Parel, three premises in Surat in Gujarat and Modi's showrooms in Chanakyapuri and Defence Colony in Delhi.  Mehta reposed confidence in PNB saying that the bank has 'capability and capacity' to overcome the crisis. However, he said that Modi has so far not come up with any concrete plan to repay PNB.  Mehta also tried to assuage fears of a domino effect of the scam. ""This is a standalone incident. It has taken place only in one of our branches,"" he said.  Mehta also said that steps are being taken to protect financial interest of banks adding that the government too is monitoring the situation in a 'day-to-day' basis.              In Video:   Be the first one to review. We have sent you a verification email. To verify, just follow the link in the message LATEST VIDEOS"
,,
"Nirav Modi: ED raids over dozen properties of Nirav Modi, lodges money laundering case - Times of India",timesofindia," Earlier this month, the CBI booked Modi, his wife Ami, brother Nishal, and uncle Mehul Choksi in a Rs 280 crore fraud case MUMBAI: The enforcement directorate ( ) has registered a case against diamond merchant and his relatives along with others and raided over dozen premises across the country connected to them on Thursday in connection of Rs 11,300 crore fraud case.  The premises raided by the ED here include Modi's residence in Kurla, his jewellery boutique in Kala Ghoda area, three company locations in Bandra and Lower Parel, three premises in Surat in Gujarat and Modi's showrooms in Chanakyapuri and Defence Colony in Delhi.  ED officials stated that the search operation will continue for few days and they are looking for the fraud related evidenced. ED suspect that Nirav had laundered money abroad after manipulating banking system and producing forged import documents. They are examining the details.  The ED has lodged the money laundering case on basis of the CBI case against Nirav and other for defrauding the bank in connivance of two bank officials.  Earlier this month, the CBI booked Modi, his wife Ami, brother Nishal, and uncle Mehul Choksi (all partners of three companies: Diamond R US, Solar Exports and Stellar Diamonds) in Rs 280 crore fraud case. Further probe revealed that the bank officials had issued around Rs 11,300 crore letter of understanding (LoU) to Nirav and other in last few years.  The CBI also booked a retired PNB officer and a clerk for helping the businesspersons. Last year, deputy manager (retired) and single window operator Manoj Kharat had issued eight letters of understanding (LoU) worth over Rs 280 crore to Nirav’s company just three months before the former’s retirement. Yesterday, the CBI received two fresh complaints from PNB allegedly against Modi and a jewellery company alleging fraudulent transactions worth about Rs 11,400 crore.  Shetty retired in May. The LoUs were issued in February. The due date mentioned January 2018. An LOU is an assurance by a party to another that they will fulfill an obligation agreed on; in the context of finance, it usually refers to a bank guarantee).  “The public servants committed abuse of official position to cause pecuniary advantage to Diamond R US, Solar Exports, Stellar Diamonds and wrongful loss of (over Rs 280 crore) to PNB during 2017,” the FIR states. The bank said it was making an “in depth” inquiry to find outstanding LoUs that might not have been detected in its system.  “While tracing old entries, it transpired that buyers’ credit based on fake LoUs might also have been paid through a nostro account,” PNB said. Nostro account is an account that a bank holds in a foreign currency in another bank. Nostros are frequently used to facilitate foreign exchange and trade transactions.     In Video:   Be the first one to review. We have sent you a verification email. To verify, just follow the link in the message LATEST VIDEOS"
,,
"Private bus fares zoom as tickets include toll fee, accident claim | Chennai News - Times of India
			",timesofindia," CHENNAI: After an initial delay due to lack of clarity, private mofussil buses in have started collecting toll plaza user fee and accident compensation claim amount from passengers. The state transport department had earlier revised norms allowing private operators to collect Rs 1 for every Rs 25 collected from passengers towards ticket sales.  However, there was no clarity about the rates among some of the operators. Now that it has been sorted out, fares have been revised in all private moffusil buses.  D R Dharmaraj, general secretary of Federation of Bus Operators’ Associations of Tamil Nadu said, “This is a welcome move as we (operators) were not able to break even because of the increased toll fees. Our profits would go up with this change.”  Passengers are forced to shell out extra on bus fares, said K from a CITU-affiliated state transport union.  Responding to this, a transport department official said it would be legally incorrect to have different fare slabs for private and government buses and courts might have directed us to do the same had private operators approached them. “Also, occupancy rate in government buses will come down if private buses collect less fare,”” he added.  On the other hand, advocate VS , who handles road accident related cases in the Madras high court, said setting up a fund with the money collected would help in quicker settlement of accident claims.  Despite government allocating Rs 190 crore towards accident claims, more than 400 buses are still under judicial custody for non-payment of dues.  Experts say the financial burden on the state would have been under control if they had brought an insurance cover. None of the 22,000 government buses have third-party or comprehensive insurance coverage. They have been let off the radar by traffic enforcement authorities. However, they turn very stringent when it comes to other private vehicles.  On an average, 1,700 vehicles are detained a month for want of third party insurance certificates. According data, a total of 16,800 vehicles were penalised for the said traffic offence and 200 are under police custody in Tamil Nadu.     Be the first one to review. We have sent you a verification email. To verify, just follow the link in the message LATEST VIDEOS"
,,
"Narendra Modi: From being 'no one', BJP has 'won' today: PM Narendra Modi on northeast poll results | India News - Times of India
			",timesofindia," NEW DELHI: Addressing party workers at the newly-built BJP's headquarter in New Delhi, a triumphant PM today dedicated the results of the assembly election in northeast to their hard work and lauded the journey of the party from being a “no one” to a party which, of late, has become synonymous with winning elections.  “From being ‘no one’, BJP has won today,” the PM said.        The Prime Minister began his address with a minute silence in memory of the party workers killed in political violence in various states of the country.  ""Be it Kerala, Bengal or Karnataka, the way two dozen workers were murdered there, when they can't fight to the face, they stoop down to this. Still we maintained silence. When we take action they cry 'vendetta'. This isn't vendetta but a mandate,"" the PM said.  Attributing the success of the BJP to its workers, the PM said that they have been instrumental in party's transformation.  ""It is because of the hard work of the party workers that BJP has emerged as a sprawling “Banyan Tree” across the country,"" he said.        Today, BJP dethroned the 25-year-old Left government in Tripura. The saffron party's victory in Tripura is quite certain, and if it forms the government in Nagaland as well, the tally of BJP-ruled states will go up to 21.  At the start of his address, Modi took a brief pause when there was a call for prayers from a nearby mosque. He was also felicitated by senior party functionaries, including members of the BJP parliamentary board, headed by party president Amit Shah.  Here is a look at important points from PM Modi's speech:   * ""To win or to lose in elections are a part of democracy. That is the beauty of democracy. One must accept their defeat with a sporting spirit.""  * ""In ‘Vastu Shastra’, it is said that Northeast of a house is at the Centre. Things are organised keeping Northeast in mind. Similarly, our Northeast will lead the country’s development journey.""  * ""I do not have the figures but I think the elected team in Tripura is the youngest ever team. Some of them were even scared that would be rejected on the grounds of their age. Such young candidates successfully won people's confidence.""  * ""The Maoist ideology used fear and myth as weapons to the will of the people. The people of Tripura have responded to that fear by using their right to vote.""  * ""The Sun is red at the time of sunset and turns saffron when it rises.""  * ""At one point in time, BJP did not have structured organisation on the ground in many parts of the country. But today, it has spread to every nook and corner of the country due to sheer hard work and dedication of millions of selfless karyakartas.""  * ""Congress party will be virtually left with only one CM in Puducherry in the country after they will be defeated in Karnataka in June 2018. In any case, Congress party doesn’t treat Punjab CM as their own, nor does Capt. Amrinder Singh treat Congress as his own.""  * ""The Congress party has shrunk to its lowest ever size ever. There is a lesson to be learnt from this for other political parties, especially the BJP. We must not let ‘Congress culture’ creep in our party.""   In Video:   Be the first one to review. We have sent you a verification email. To verify, just follow the link in the message LATEST VIDEOS"
,,
